route_id,service_id,trip_id,trip_headsign,direction_id
1A,sunday,trip_1A_sunday_011,,
1A,sunday,trip_1A_sunday_012,,
1A,sunday,trip_1A_sunday_013,,
1A,sunday,trip_1A_sunday_014,,
1A,sunday,trip_1A_sunday_015,,
1A,sunday,trip_1A_sunday_016,,
1A,sunday,trip_1A_sunday_017,,
1A,sunday,trip_1A_sunday_018,,
1A,sunday,trip_1A_sunday_019,,
1A,sunday,trip_1A_sunday_020,,
1A,sunday,trip_1A_sunday_021,,
1A,sunday,trip_1A_sunday_022,,
1A,sunday,trip_1A_sunday_023,,
1A,sunday,trip_1A_sunday_024,,
1A,sunday,trip_1A_sunday_025,,
1A,sunday,trip_1A_sunday_026,,
1A,sunday,trip_1A_sunday_027,,
1A,sunday,trip_1A_sunday_028,,
1A,sunday,trip_1A_sunday_029,,
1A,sunday,trip_1A_sunday_030,,
1A,sunday,trip_1A_sunday_031,,
1A,sunday,trip_1A_sunday_032,,
1A,sunday,trip_1A_sunday_033,,
1A,sunday,trip_1A_sunday_034,,
1A,sunday,trip_1A_sunday_035,,
1A,sunday,trip_1A_sunday_036,,
1B,weekday,trip_1B_weekday_001,,
1B,weekday,trip_1B_weekday_002,,
1B,weekday,trip_1B_weekday_003,,
1B,weekday,trip_1B_weekday_004,,
1B,weekday,trip_1B_weekday_005,,
1B,weekday,trip_1B_weekday_006,,
1B,weekday,trip_1B_weekday_007,,
1B,weekday,trip_1B_weekday_008,,
1B,weekday,trip_1B_weekday_009,,
1B,weekday,trip_1B_weekday_010,,
1B,weekday,trip_1B_weekday_011,,
1B,weekday,trip_1B_weekday_012,,
1B,weekday,trip_1B_weekday_013,,
1B,weekday,trip_1B_weekday_014,,
1B,weekday,trip_1B_weekday_015,,
1B,weekday,trip_1B_weekday_016,,
1B,weekday,trip_1B_weekday_017,,
1B,weekday,trip_1B_weekday_018,,
1B,weekday,trip_1B_weekday_019,,
1B,weekday,trip_1B_weekday_020,,
1B,weekday,trip_1B_weekday_021,,
1B,weekday,trip_1B_weekday_022,,
1B,weekday,trip_1B_weekday_023,,
1B,weekday,trip_1B_weekday_024,,
1B,weekday,trip_1B_weekday_025,,
1B,weekday,trip_1B_weekday_026,,
1B,weekday,trip_1B_weekday_027,,
1B,weekday,trip_1B_weekday_028,,
1B,weekday,trip_1B_weekday_029,,
1B,weekday,trip_1B_weekday_030,,
1B,weekday,trip_1B_weekday_031,,
1B,weekday,trip_1B_weekday_032,,
1B,weekday,trip_1B_weekday_033,,
1B,weekday,trip_1B_weekday_034,,
1B,weekday,trip_1B_weekday_035,,
1B,weekday,trip_1B_weekday_036,,
1B,saturday,trip_1B_saturday_001,,
1B,saturday,trip_1B_saturday_002,,
1B,saturday,trip_1B_saturday_003,,
1B,saturday,trip_1B_saturday_004,,
1B,saturday,trip_1B_saturday_005,,
1B,saturday,trip_1B_saturday_006,,
1B,saturday,trip_1B_saturday_007,,
1B,saturday,trip_1B_saturday_008,,
1B,saturday,trip_1B_saturday_009,,
1B,saturday,trip_1B_saturday_010,,
1B,saturday,trip_1B_saturday_011,,
1B,saturday,trip_1B_saturday_012,,
1B,saturday,trip_1B_saturday_013,,
1B,saturday,trip_1B_saturday_014,,
1B,saturday,trip_1B_saturday_015,,
1B,saturday,trip_1B_saturday_016,,
1B,saturday,trip_1B_saturday_017,,
1B,saturday,trip_1B_saturday_018,,
1B,saturday,trip_1B_saturday_019,,
1B,saturday,trip_1B_saturday_020,,
1B,saturday,trip_1B_saturday_021,,
1B,saturday,trip_1B_saturday_022,,
1B,saturday,trip_1B_saturday_023,,
1B,saturday,trip_1B_saturday_024,,
1B,saturday,trip_1B_saturday_025,,
1B,saturday,trip_1B_saturday_026,,
1B,saturday,trip_1B_saturday_027,,
1B,saturday,trip_1B_saturday_028,,
1B,saturday,trip_1B_saturday_029,,
1B,saturday,trip_1B_saturday_030,,
1B,saturday,trip_1B_saturday_031,,
1B,saturday,trip_1B_saturday_032,,
1B,saturday,trip_1B_saturday_033,,
1B,saturday,trip_1B_saturday_034,,
1B,saturday,trip_1B_saturday_035,,
1B,saturday,trip_1B_saturday_036,,
1B,sunday,trip_1B_sunday_001,,
1B,sunday,trip_1B_sunday_002,,
1B,sunday,trip_1B_sunday_003,,
1B,sunday,trip_1B_sunday_004,,
1B,sunday,trip_1B_sunday_005,,
1B,sunday,trip_1B_sunday_006,,
1B,sunday,trip_1B_sunday_007,,
1B,sunday,trip_1B_sunday_008,,
1B,sunday,trip_1B_sunday_009,,
1B,sunday,trip_1B_sunday_010,,
1B,sunday,trip_1B_sunday_011,,
1B,sunday,trip_1B_sunday_012,,
1B,sunday,trip_1B_sunday_013,,
1B,sunday,trip_1B_sunday_014,,
1B,sunday,trip_1B_sunday_015,,
1B,sunday,trip_1B_sunday_016,,
1B,sunday,trip_1B_sunday_017,,
1B,sunday,trip_1B_sunday_018,,
1B,sunday,trip_1B_sunday_019,,
1B,sunday,trip_1B_sunday_020,,
1B,sunday,trip_1B_sunday_021,,
1B,sunday,trip_1B_sunday_022,,
1B,sunday,trip_1B_sunday_023,,
1B,sunday,trip_1B_sunday_024,,
1B,sunday,trip_1B_sunday_025,,
1B,sunday,trip_1B_sunday_026,,
1B,sunday,trip_1B_sunday_027,,
1B,sunday,trip_1B_sunday_028,,
1B,sunday,trip_1B_sunday_029,,
1B,sunday,trip_1B_sunday_030,,
1B,sunday,trip_1B_sunday_031,,
1B,sunday,trip_1B_sunday_032,,
1B,sunday,trip_1B_sunday_033,,
1B,sunday,trip_1B_sunday_034,,
1B,sunday,trip_1B_sunday_035,,
1B,sunday,trip_1B_sunday_036,,
2A,weekday,trip_2A_weekday_001,,
2A,weekday,trip_2A_weekday_002,,
2A,weekday,trip_2A_weekday_003,,
2A,weekday,trip_2A_weekday_004,,
2A,weekday,trip_2A_weekday_005,,
2A,weekday,trip_2A_weekday_006,,
2A,weekday,trip_2A_weekday_007,,
2A,weekday,trip_2A_weekday_008,,
2A,weekday,trip_2A_weekday_009,,
2A,weekday,trip_2A_weekday_010,,
2A,weekday,trip_2A_weekday_011,,
2A,weekday,trip_2A_weekday_012,,
2A,weekday,trip_2A_weekday_013,,
2A,weekday,trip_2A_weekday_014,,
2A,weekday,trip_2A_weekday_015,,
2A,weekday,trip_2A_weekday_016,,
2A,weekday,trip_2A_weekday_017,,
2A,weekday,trip_2A_weekday_018,,
2A,weekday,trip_2A_weekday_019,,
2A,weekday,trip_2A_weekday_020,,
2A,weekday,trip_2A_weekday_021,,
2A,weekday,trip_2A_weekday_022,,
2A,weekday,trip_2A_weekday_023,,
2A,weekday,trip_2A_weekday_024,,
2A,weekday,trip_2A_weekday_025,,
2A,weekday,trip_2A_weekday_026,,
2A,weekday,trip_2A_weekday_027,,
2A,weekday,trip_2A_weekday_028,,
2A,weekday,trip_2A_weekday_029,,
2A,weekday,trip_2A_weekday_030,,
2A,weekday,trip_2A_weekday_031,,
2A,weekday,trip_2A_weekday_032,,
2A,weekday,trip_2A_weekday_033,,
2A,weekday,trip_2A_weekday_034,,
2A,weekday,trip_2A_weekday_035,,
2A,weekday,trip_2A_weekday_036,,
2A,saturday,trip_2A_saturday_001,,
2A,saturday,trip_2A_saturday_002,,
2A,saturday,trip_2A_saturday_003,,
2A,saturday,trip_2A_saturday_004,,
2A,saturday,trip_2A_saturday_005,,
2A,saturday,trip_2A_saturday_006,,
2A,saturday,trip_2A_saturday_007,,
2A,saturday,trip_2A_saturday_008,,
2A,saturday,trip_2A_saturday_009,,
2A,saturday,trip_2A_saturday_010,,
2A,saturday,trip_2A_saturday_011,,
2A,saturday,trip_2A_saturday_012,,
2A,saturday,trip_2A_saturday_013,,
2A,saturday,trip_2A_saturday_014,,
2A,saturday,trip_2A_saturday_015,,
2A,saturday,trip_2A_saturday_016,,
2A,saturday,trip_2A_saturday_017,,
2A,saturday,trip_2A_saturday_018,,
2A,saturday,trip_2A_saturday_019,,
2A,saturday,trip_2A_saturday_020,,
2A,saturday,trip_2A_saturday_021,,
2A,saturday,trip_2A_saturday_022,,
2A,saturday,trip_2A_saturday_023,,
2A,saturday,trip_2A_saturday_024,,
2A,saturday,trip_2A_saturday_025,,
2A,saturday,trip_2A_saturday_026,,
2A,saturday,trip_2A_saturday_027,,
2A,saturday,trip_2A_saturday_028,,
2A,saturday,trip_2A_saturday_029,,
2A,saturday,trip_2A_saturday_030,,
2A,saturday,trip_2A_saturday_031,,
2A,saturday,trip_2A_saturday_032,,
2A,saturday,trip_2A_saturday_033,,
2A,saturday,trip_2A_saturday_034,,
2A,saturday,trip_2A_saturday_035,,
2A,saturday,trip_2A_saturday_036,,
2A,sunday,trip_2A_sunday_001,,
2A,sunday,trip_2A_sunday_002,,
2A,sunday,trip_2A_sunday_003,,
2A,sunday,trip_2A_sunday_004,,
2A,sunday,trip_2A_sunday_005,,
2A,sunday,trip_2A_sunday_006,,
2A,sunday,trip_2A_sunday_007,,
2A,sunday,trip_2A_sunday_008,,
2A,sunday,trip_2A_sunday_009,,
2A,sunday,trip_2A_sunday_010,,
2A,sunday,trip_2A_sunday_011,,
2A,sunday,trip_2A_sunday_012,,
2A,sunday,trip_2A_sunday_013,,
2A,sunday,trip_2A_sunday_014,,
2A,sunday,trip_2A_sunday_015,,
2A,sunday,trip_2A_sunday_016,,
2A,sunday,trip_2A_sunday_017,,
2A,sunday,trip_2A_sunday_018,,
2A,sunday,trip_2A_sunday_019,,
2A,sunday,trip_2A_sunday_020,,
2A,sunday,trip_2A_sunday_021,,
2A,sunday,trip_2A_sunday_022,,
2A,sunday,trip_2A_sunday_023,,
2A,sunday,trip_2A_sunday_024,,
2A,sunday,trip_2A_sunday_025,,
2A,sunday,trip_2A_sunday_026,,
2A,sunday,trip_2A_sunday_027,,
2A,sunday,trip_2A_sunday_028,,
2A,sunday,trip_2A_sunday_029,,
2A,sunday,trip_2A_sunday_030,,
2A,sunday,trip_2A_sunday_031,,
2A,sunday,trip_2A_sunday_032,,
2A,sunday,trip_2A_sunday_033,,
2A,sunday,trip_2A_sunday_034,,
2A,sunday,trip_2A_sunday_035,,
2A,sunday,trip_2A_sunday_036,,
2B,weekday,trip_2B_weekday_001,,
2B,weekday,trip_2B_weekday_002,,
2B,weekday,trip_2B_weekday_003,,
2B,weekday,trip_2B_weekday_004,,
2B,weekday,trip_2B_weekday_005,,
2B,weekday,trip_2B_weekday_006,,
2B,weekday,trip_2B_weekday_007,,
2B,weekday,trip_2B_weekday_008,,
2B,weekday,trip_2B_weekday_009,,
2B,weekday,trip_2B_weekday_010,,
2B,weekday,trip_2B_weekday_011,,
2B,weekday,trip_2B_weekday_012,,
2B,weekday,trip_2B_weekday_013,,
2B,weekday,trip_2B_weekday_014,,
2B,weekday,trip_2B_weekday_015,,
2B,weekday,trip_2B_weekday_016,,
2B,weekday,trip_2B_weekday_017,,
2B,weekday,trip_2B_weekday_018,,
2B,weekday,trip_2B_weekday_019,,
2B,weekday,trip_2B_weekday_020,,
2B,weekday,trip_2B_weekday_021,,
2B,weekday,trip_2B_weekday_022,,
2B,weekday,trip_2B_weekday_023,,
2B,weekday,trip_2B_weekday_024,,
2B,weekday,trip_2B_weekday_025,,
2B,weekday,trip_2B_weekday_026,,
2B,weekday,trip_2B_weekday_027,,
2B,weekday,trip_2B_weekday_028,,
2B,weekday,trip_2B_weekday_029,,
2B,weekday,trip_2B_weekday_030,,
2B,weekday,trip_2B_weekday_031,,
2B,weekday,trip_2B_weekday_032,,
2B,weekday,trip_2B_weekday_033,,
2B,weekday,trip_2B_weekday_034,,
2B,weekday,trip_2B_weekday_035,,
2B,weekday,trip_2B_weekday_036,,
2B,saturday,trip_2B_saturday_001,,
2B,saturday,trip_2B_saturday_002,,
2B,saturday,trip_2B_saturday_003,,
2B,saturday,trip_2B_saturday_004,,
2B,saturday,trip_2B_saturday_005,,
2B,saturday,trip_2B_saturday_006,,
2B,saturday,trip_2B_saturday_007,,
2B,saturday,trip_2B_saturday_008,,
2B,saturday,trip_2B_saturday_009,,
2B,saturday,trip_2B_saturday_010,,
2B,saturday,trip_2B_saturday_011,,
2B,saturday,trip_2B_saturday_012,,
2B,saturday,trip_2B_saturday_013,,
2B,saturday,trip_2B_saturday_014,,
2B,saturday,trip_2B_saturday_015,,
2B,saturday,trip_2B_saturday_016,,
2B,saturday,trip_2B_saturday_017,,
2B,saturday,trip_2B_saturday_018,,
2B,saturday,trip_2B_saturday_019,,
2B,saturday,trip_2B_saturday_020,,
2B,saturday,trip_2B_saturday_021,,
2B,saturday,trip_2B_saturday_022,,
2B,saturday,trip_2B_saturday_023,,
2B,saturday,trip_2B_saturday_024,,
2B,saturday,trip_2B_saturday_025,,
2B,saturday,trip_2B_saturday_026,,
2B,saturday,trip_2B_saturday_027,,
2B,saturday,trip_2B_saturday_028,,
2B,saturday,trip_2B_saturday_029,,
2B,saturday,trip_2B_saturday_030,,
2B,saturday,trip_2B_saturday_031,,
2B,saturday,trip_2B_saturday_032,,
2B,saturday,trip_2B_saturday_033,,
2B,saturday,trip_2B_saturday_034,,
2B,saturday,trip_2B_saturday_035,,
2B,saturday,trip_2B_saturday_036,,
2B,sunday,trip_2B_sunday_001,,
2B,sunday,trip_2B_sunday_002,,
2B,sunday,trip_2B_sunday_003,,
2B,sunday,trip_2B_sunday_004,,
2B,sunday,trip_2B_sunday_005,,
2B,sunday,trip_2B_sunday_006,,
2B,sunday,trip_2B_sunday_007,,
2B,sunday,trip_2B_sunday_008,,
2B,sunday,trip_2B_sunday_009,,
2B,sunday,trip_2B_sunday_010,,
2B,sunday,trip_2B_sunday_011,,
2B,sunday,trip_2B_sunday_012,,
2B,sunday,trip_2B_sunday_013,,
2B,sunday,trip_2B_sunday_014,,
2B,sunday,trip_2B_sunday_015,,
2B,sunday,trip_2B_sunday_016,,
2B,sunday,trip_2B_sunday_017,,
2B,sunday,trip_2B_sunday_018,,
2B,sunday,trip_2B_sunday_019,,
2B,sunday,trip_2B_sunday_020,,
2B,sunday,trip_2B_sunday_021,,
2B,sunday,trip_2B_sunday_022,,
2B,sunday,trip_2B_sunday_023,,
2B,sunday,trip_2B_sunday_024,,
2B,sunday,trip_2B_sunday_025,,
2B,sunday,trip_2B_sunday_026,,
2B,sunday,trip_2B_sunday_027,,
2B,sunday,trip_2B_sunday_028,,
2B,sunday,trip_2B_sunday_029,,
2B,sunday,trip_2B_sunday_030,,
2B,sunday,trip_2B_sunday_031,,
2B,sunday,trip_2B_sunday_032,,
2B,sunday,trip_2B_sunday_033,,
2B,sunday,trip_2B_sunday_034,,
2B,sunday,trip_2B_sunday_035,,
2B,sunday,trip_2B_sunday_036,,
3A,weekday,trip_3A_weekday_001,,
3A,weekday,trip_3A_weekday_002,,
3A,weekday,trip_3A_weekday_003,,
3A,weekday,trip_3A_weekday_004,,
3A,weekday,trip_3A_weekday_005,,
3A,weekday,trip_3A_weekday_006,,
3A,weekday,trip_3A_weekday_007,,
3A,weekday,trip_3A_weekday_008,,
3A,weekday,trip_3A_weekday_009,,
3A,weekday,trip_3A_weekday_010,,
3A,weekday,trip_3A_weekday_011,,
3A,weekday,trip_3A_weekday_012,,
3A,weekday,trip_3A_weekday_013,,
3A,weekday,trip_3A_weekday_014,,
3A,weekday,trip_3A_weekday_015,,
3A,weekday,trip_3A_weekday_016,,
3A,weekday,trip_3A_weekday_017,,
3A,weekday,trip_3A_weekday_018,,
3A,weekday,trip_3A_weekday_019,,
3A,weekday,trip_3A_weekday_020,,
3A,weekday,trip_3A_weekday_021,,
3A,weekday,trip_3A_weekday_022,,
3A,weekday,trip_3A_weekday_023,,
3A,weekday,trip_3A_weekday_024,,
3A,weekday,trip_3A_weekday_025,,
3A,weekday,trip_3A_weekday_026,,
3A,weekday,trip_3A_weekday_027,,
3A,weekday,trip_3A_weekday_028,,
3A,weekday,trip_3A_weekday_029,,
3A,weekday,trip_3A_weekday_030,,
3A,weekday,trip_3A_weekday_031,,
3A,weekday,trip_3A_weekday_032,,
3A,weekday,trip_3A_weekday_033,,
3A,weekday,trip_3A_weekday_034,,
3A,weekday,trip_3A_weekday_035,,
3A,weekday,trip_3A_weekday_036,,
3A,saturday,trip_3A_saturday_001,,
3A,saturday,trip_3A_saturday_002,,
3A,saturday,trip_3A_saturday_003,,
3A,saturday,trip_3A_saturday_004,,
3A,saturday,trip_3A_saturday_005,,
3A,saturday,trip_3A_saturday_006,,
3A,saturday,trip_3A_saturday_007,,
3A,saturday,trip_3A_saturday_008,,
3A,saturday,trip_3A_saturday_009,,
3A,saturday,trip_3A_saturday_010,,
3A,saturday,trip_3A_saturday_011,,
3A,saturday,trip_3A_saturday_012,,
3A,saturday,trip_3A_saturday_013,,
3A,saturday,trip_3A_saturday_014,,
3A,saturday,trip_3A_saturday_015,,
3A,saturday,trip_3A_saturday_016,,
3A,saturday,trip_3A_saturday_017,,
3A,saturday,trip_3A_saturday_018,,
3A,saturday,trip_3A_saturday_019,,
3A,saturday,trip_3A_saturday_020,,
3A,saturday,trip_3A_saturday_021,,
3A,saturday,trip_3A_saturday_022,,
3A,saturday,trip_3A_saturday_023,,
3A,saturday,trip_3A_saturday_024,,
3A,saturday,trip_3A_saturday_025,,
3A,saturday,trip_3A_saturday_026,,
3A,saturday,trip_3A_saturday_027,,
3A,saturday,trip_3A_saturday_028,,
3A,saturday,trip_3A_saturday_029,,
3A,saturday,trip_3A_saturday_030,,
3A,saturday,trip_3A_saturday_031,,
3A,saturday,trip_3A_saturday_032,,
3A,saturday,trip_3A_saturday_033,,
3A,saturday,trip_3A_saturday_034,,
3A,saturday,trip_3A_saturday_035,,
3A,saturday,trip_3A_saturday_036,,
3A,sunday,trip_3A_sunday_001,,
3A,sunday,trip_3A_sunday_002,,
3A,sunday,trip_3A_sunday_003,,
3A,sunday,trip_3A_sunday_004,,
3A,sunday,trip_3A_sunday_005,,
3A,sunday,trip_3A_sunday_006,,
3A,sunday,trip_3A_sunday_007,,
3A,sunday,trip_3A_sunday_008,,
3A,sunday,trip_3A_sunday_009,,
3A,sunday,trip_3A_sunday_010,,
3A,sunday,trip_3A_sunday_011,,
3A,sunday,trip_3A_sunday_012,,
3A,sunday,trip_3A_sunday_013,,
3A,sunday,trip_3A_sunday_014,,
3A,sunday,trip_3A_sunday_015,,
3A,sunday,trip_3A_sunday_016,,
3A,sunday,trip_3A_sunday_017,,
3A,sunday,trip_3A_sunday_018,,
3A,sunday,trip_3A_sunday_019,,
3A,sunday,trip_3A_sunday_020,,
3A,sunday,trip_3A_sunday_021,,
3A,sunday,trip_3A_sunday_022,,
3A,sunday,trip_3A_sunday_023,,
3A,sunday,trip_3A_sunday_024,,
3A,sunday,trip_3A_sunday_025,,
3A,sunday,trip_3A_sunday_026,,
3A,sunday,trip_3A_sunday_027,,
3A,sunday,trip_3A_sunday_028,,
3A,sunday,trip_3A_sunday_029,,
3A,sunday,trip_3A_sunday_030,,
3A,sunday,trip_3A_sunday_031,,
3A,sunday,trip_3A_sunday_032,,
3A,sunday,trip_3A_sunday_033,,
3A,sunday,trip_3A_sunday_034,,
3A,sunday,trip_3A_sunday_035,,
3A,sunday,trip_3A_sunday_036,,
3B,weekday,trip_3B_weekday_001,,
3B,weekday,trip_3B_weekday_002,,
3B,weekday,trip_3B_weekday_003,,
3B,weekday,trip_3B_weekday_004,,
3B,weekday,trip_3B_weekday_005,,
3B,weekday,trip_3B_weekday_006,,
3B,weekday,trip_3B_weekday_007,,
3B,weekday,trip_3B_weekday_008,,
3B,weekday,trip_3B_weekday_009,,
3B,weekday,trip_3B_weekday_010,,
3B,weekday,trip_3B_weekday_011,,
3B,weekday,trip_3B_weekday_012,,
3B,weekday,trip_3B_weekday_013,,
3B,weekday,trip_3B_weekday_014,,
3B,weekday,trip_3B_weekday_015,,
3B,weekday,trip_3B_weekday_016,,
3B,weekday,trip_3B_weekday_017,,
3B,weekday,trip_3B_weekday_018,,
3B,weekday,trip_3B_weekday_019,,
3B,weekday,trip_3B_weekday_020,,
3B,weekday,trip_3B_weekday_021,,
3B,weekday,trip_3B_weekday_022,,
3B,weekday,trip_3B_weekday_023,,
3B,weekday,trip_3B_weekday_024,,
3B,weekday,trip_3B_weekday_025,,
3B,weekday,trip_3B_weekday_026,,
3B,weekday,trip_3B_weekday_027,,
3B,weekday,trip_3B_weekday_028,,
3B,weekday,trip_3B_weekday_029,,
3B,weekday,trip_3B_weekday_030,,
3B,weekday,trip_3B_weekday_031,,
3B,weekday,trip_3B_weekday_032,,
3B,weekday,trip_3B_weekday_033,,
3B,weekday,trip_3B_weekday_034,,
3B,weekday,trip_3B_weekday_035,,
3B,weekday,trip_3B_weekday_036,,
3B,saturday,trip_3B_saturday_001,,
3B,saturday,trip_3B_saturday_002,,
3B,saturday,trip_3B_saturday_003,,
3B,saturday,trip_3B_saturday_004,,
3B,saturday,trip_3B_saturday_005,,
3B,saturday,trip_3B_saturday_006,,
3B,saturday,trip_3B_saturday_007,,
3B,saturday,trip_3B_saturday_008,,
3B,saturday,trip_3B_saturday_009,,
3B,saturday,trip_3B_saturday_010,,
3B,saturday,trip_3B_saturday_011,,
3B,saturday,trip_3B_saturday_012,,
3B,saturday,trip_3B_saturday_013,,
3B,saturday,trip_3B_saturday_014,,
3B,saturday,trip_3B_saturday_015,,
3B,saturday,trip_3B_saturday_016,,
3B,saturday,trip_3B_saturday_017,,
3B,saturday,trip_3B_saturday_018,,
3B,saturday,trip_3B_saturday_019,,
3B,saturday,trip_3B_saturday_020,,
3B,saturday,trip_3B_saturday_021,,
3B,saturday,trip_3B_saturday_022,,
3B,saturday,trip_3B_saturday_023,,
3B,saturday,trip_3B_saturday_024,,
3B,saturday,trip_3B_saturday_025,,
3B,saturday,trip_3B_saturday_026,,
3B,saturday,trip_3B_saturday_027,,
3B,saturday,trip_3B_saturday_028,,
3B,saturday,trip_3B_saturday_029,,
3B,saturday,trip_3B_saturday_030,,
3B,saturday,trip_3B_saturday_031,,
3B,saturday,trip_3B_saturday_032,,
3B,saturday,trip_3B_saturday_033,,
3B,saturday,trip_3B_saturday_034,,
3B,saturday,trip_3B_saturday_035,,
3B,saturday,trip_3B_saturday_036,,
3B,sunday,trip_3B_sunday_001,,
3B,sunday,trip_3B_sunday_002,,
3B,sunday,trip_3B_sunday_003,,
3B,sunday,trip_3B_sunday_004,,
3B,sunday,trip_3B_sunday_005,,
3B,sunday,trip_3B_sunday_006,,
3B,sunday,trip_3B_sunday_007,,
3B,sunday,trip_3B_sunday_008,,
3B,sunday,trip_3B_sunday_009,,
3B,sunday,trip_3B_sunday_010,,
3B,sunday,trip_3B_sunday_011,,
3B,sunday,trip_3B_sunday_012,,
3B,sunday,trip_3B_sunday_013,,
3B,sunday,trip_3B_sunday_014,,
3B,sunday,trip_3B_sunday_015,,
3B,sunday,trip_3B_sunday_016,,
3B,sunday,trip_3B_sunday_017,,
3B,sunday,trip_3B_sunday_018,,
3B,sunday,trip_3B_sunday_019,,
3B,sunday,trip_3B_sunday_020,,
3B,sunday,trip_3B_sunday_021,,
3B,sunday,trip_3B_sunday_022,,
3B,sunday,trip_3B_sunday_023,,
3B,sunday,trip_3B_sunday_024,,
3B,sunday,trip_3B_sunday_025,,
3B,sunday,trip_3B_sunday_026,,
3B,sunday,trip_3B_sunday_027,,
3B,sunday,trip_3B_sunday_028,,
3B,sunday,trip_3B_sunday_029,,
3B,sunday,trip_3B_sunday_030,,
3B,sunday,trip_3B_sunday_031,,
3B,sunday,trip_3B_sunday_032,,
3B,sunday,trip_3B_sunday_033,,
3B,sunday,trip_3B_sunday_034,,
3B,sunday,trip_3B_sunday_035,,
3B,sunday,trip_3B_sunday_036,,
4A,weekday,trip_4A_weekday_001,,
4A,weekday,trip_4A_weekday_002,,
4A,weekday,trip_4A_weekday_003,,
4A,weekday,trip_4A_weekday_004,,
4A,weekday,trip_4A_weekday_005,,
4A,weekday,trip_4A_weekday_006,,
4A,weekday,trip_4A_weekday_007,,
4A,weekday,trip_4A_weekday_008,,
4A,weekday,trip_4A_weekday_009,,
4A,weekday,trip_4A_weekday_010,,
4A,weekday,trip_4A_weekday_011,,
4A,weekday,trip_4A_weekday_012,,
4A,weekday,trip_4A_weekday_013,,
4A,weekday,trip_4A_weekday_014,,
4A,weekday,trip_4A_weekday_015,,
4A,weekday,trip_4A_weekday_016,,
